1|../../Resources/Images/apartment2.png|1|0|0
2|../../Resources/Images/garden1.png|1|0|0
3|../../Resources/Images/apartment2.png|1|0|0
6|../../Resources/Images/garden1.png|1|0|0
7|../../Resources/Images/apartment2.png|1|0|1
8|../../Resources/Images/apartment2.png|2|0|0
9|../../Resources/Images/garden1.png|2|0|0
10|../../Resources/Images/garden1.png|4|0|0
11|../../Resources/Images/apartment2.png|4|0|0
12|../../Resources/Images/apartment2.png|5|0|0
13|../../Resources/Images/garden1.png|5|0|0
16|../../Resources/Images/noviSad.png|0|2|0
24|../../Resources/Images/knezMihajlova.png|0|2|0
25|../../Resources/Images/nica.png|0|3|0
26|../../Resources/Images/pariz.png|0|3|0
27|../../Resources/Images/budva.png|0|1|0
28|../../Resources/Images/apartment2.png|5|0|0
29|../../Resources/Images/apartment2.png|5|0|0
30|../../Resources/Images/apartment2.png|6|0|0
31|../../Resources/Images/apartment2.png|6|0|0
33|../../Resources/Images/apartment2.png|7|0|0
34|../../Resources/Images/garden1.png|8|0|0
37|../../Resources/Images/apartment2.png|9|0|0
38|../../Resources/Images/gost1.jpg|0|0|1
39|../../Resources/Images/gost1k.jpg|0|0|1
40|../../Resources/Images/gost1.jpg|0|0|2
41|../../Resources/Images/gost1.jpg|0|0|2
43|../../Resouces/Images/gost1.png|0|0|4
44|../../Resources/Images/knezMihajlova.png|0|5|0
45|../../Resources/Images/pobednikBg.png|0|5|0
46|../../Resources/Images/budva.png|0|6|0
47|../../Resources/Images/pariz.png|0|8|0
48|../../Resources/Images/petrovaradin.png|0|9|0
49|../../Resources/Images/nica.png|0|7|0
